# Flat replay per log and instantiation (ocpn_quality with KEEPSET_OVERRIDE from cross_instantiation), 2026-09-02.
# Object-weighted over the types both models score; adj = floor-adjusted precision. dec = coexistence blocking (Table 1). BPIC2017 imf and dec rows: only Case_R differs from ord and was replayed alone (TYPES=Case_R); other types identical.
log	lens	arc_rec	arc_red	arc_rep	fit_rec	fit_rep	prec_rec	prec_rep	adj_rec	adj_rep	d_adj
01_o2c	ord	90	48	86	1.0000	1.0000	0.9938	0.8864	0.9921	0.8462	-0.146
01_o2c	imf	90	78	94	1.0000	1.0000	0.9938	0.9938	0.9921	0.9921	+0.000
02_p2p	ord	100	86	96	0.9445	0.9911	0.8361	0.8226	0.6326	0.6224	-0.010
02_p2p	imf	100	94	100	0.9445	0.9866	0.8361	0.8645	0.6326	0.7126	+0.080
03_hiring	ord	108	60	102	1.0000	1.0000	0.8355	0.7228	0.8249	0.6528	-0.172
03_hiring	imf	108	96	104	1.0000	1.0000	0.8355	0.8338	0.8249	0.8226	-0.002
04_hospital	ord	54	20	38	0.9999	1.0000	0.9914	0.9373	0.9599	0.8003	-0.160
04_hospital	imf	54	26	40	0.9999	1.0000	0.9914	0.9914	0.9599	0.9599	+0.000
ocel2-p2p-updated	ord	54	30	54	0.9197	0.9562	0.9037	0.9147	0.8078	0.8205	+0.013
ocel2-p2p-updated	imf	54	36	56	0.9197	0.9720	0.9037	0.8973	0.8078	0.7934	-0.014
ContainerLogistics	ord	94	38	72	0.9960	0.9924	0.9829	0.9643	0.9781	0.9529	-0.025
ContainerLogistics	imf	94	68	90	0.9960	0.9924	0.9829	0.9644	0.9781	0.9530	-0.025
socel2_hinge	ord	166	30	80	0.9992	0.9992	0.9999	0.9996	0.9999	0.9995	-0.000
socel2_hinge	imf	166	146	158	0.9992	0.9992	0.9999	0.9997	0.9999	0.9996	-0.000
order-management	ord	163	40	96	0.9847	0.9896	0.6601	0.7004	0.5782	0.6278	+0.050
order-management	imf	163	105	135	0.9847	0.9892	0.6601	0.6917	0.5782	0.6175	+0.039
bpic2017-no-W	ord	98	50	86	0.9974	0.9975	0.9112	0.9110	0.8840	0.8839	-0.000
bpic2017-no-W	imf	98	102	-	0.9974	0.9974	0.9112	0.9112	0.8840	0.8840	-0.000
02_p2p	dec	100	96	100	0.9445	0.9544	0.8361	0.8675	0.6326	0.7188	+0.086
03_hiring	dec	108	68	102	1.0000	1.0000	0.8355	0.7227	0.8249	0.6526	-0.172
ocel2-p2p-updated	dec	54	34	76	0.9197	0.9390	0.9037	0.7798	0.8078	0.5521	-0.256
ContainerLogistics	dec	94	38	72	0.9960	0.9924	0.9829	0.9643	0.9781	0.9529	-0.025
socel2_hinge	dec	166	30	80	0.9992	0.9992	0.9999	0.9996	0.9999	0.9995	-0.000
order-management	dec	163	37	131	0.9847	0.9853	0.6601	0.5115	0.5782	0.3754	-0.203
01_o2c	dec	90	68	88	1.0000	0.9758	0.9938	0.7681	0.9921	0.7231	-0.269
04_hospital	dec	54	34	44	0.9999	0.9999	0.9914	0.9914	0.9599	0.9599	+0.000
bpic2017-no-W	dec	98	90	-	0.9974	0.9974	0.9112	0.9111	0.8840	0.8840	-0.000
